stock,tick
Kimia Biosciences Ltd,KIM
Kinetic Engineering Ltd,KINE
Kingfa Science and Technology (India) Ltd,KINA
Kings Infra Ventures Ltd,KING
Kiran Print Pack Ltd,KIRA
Kiran Syntex Ltd,KIRAN
Kiran Vyapar Ltd,KIR
Kiri Industries Ltd,KIRI
Kirloskar Brothers Ltd,KRBR
Kirloskar Electric Company Ltd,KREL
Kirloskar Ferrous Industries Ltd,KRFI
Kirloskar Industries Ltd,KIRL
Kirloskar Oil Engines Ltd,KIRO
Kirloskar Pneumatic Company Ltd,KGK
Kisan Mouldings Ltd,KIS
Kitex Garments Ltd,KITE
Kkalpana Industries (India) Ltd,KKA
Kkalpana Plastick Limited,KKP
Knowledge Marine & Engineering Works Ltd,KME
Kody Technolab Ltd,KOD
Kohinoor Foods Ltd,KOFO
Kokuyo Camlin Ltd,KOCL
Kolte-Patil Developers Ltd,KOLT
Konark Synthetic Ltd,KONA
Konndor Industries Ltd,KON
Konstelec Engineers Ltd,KONS
Kontor Space Ltd,KONT
Kopran Ltd,KPRN
Kore Digital Ltd,KDD
Kore Foods Ltd,PHI
Kotak Gold Etf,KTGF
Kotak Mahindra Bank Ltd,KTKM
Kotak Nifty 100 Low Volatility 30 ETF,KOTAL
Kotak Nifty 1D Rate Liquid ETF,KOTAI
Kotak Nifty 50 ETF,KOTK
Kotak Nifty 50 Value 20 ETF,KONV
Kotak Nifty Alpha 50 ETF,KOTAK
Kotak Nifty Bank ETF,KOTM
Kotak Nifty IT ETF,KOTA
Kotak Nifty India Consumption ETF,KOTAC
Kotak Nifty MNC ETF,KOTAN
Kotak Nifty Midcap 50 ETF,KOTAM
Kotak Nifty PSU Bank ETF,KTPU
Kotak S&P BSE Sensex ETF,KTK
Kotak Silver ETF,KOTAS
Kothari Fermentation and Biochem Ltd,KFB
Kothari Industrial Corp Ltd,KOT
Kothari Petrochemicals Ltd,KPOC
Kothari Products Ltd,KPRO
Kothari Sugars and Chemicals Ltd,KTSG
Kotia Enterprises Ltd,KEK
Kotyark Industries Ltd,KOTY
Koura Fine Diamond Jewelry Ltd,KOU
Kovai Medical Center and Hospital Ltd,KOV
Kovalam Investment and Trading Co Ltd,ZKO
Kovilpatti Lakshmi Roller Flour Mills Ltd,KLR
Kranti Industries Ltd,KRA
Kratos Energy & Infrastructure Ltd,KRAT
Krebs Biochemicals and Industries Ltd,KREB
Kreon Finnancial Services Ltd,KREO
Kretto Syscon Ltd,KRE
Kridhan Infra Ltd,KRID
Krishana Phoschem Ltd,KRPH
Krishanveer Forge Ltd,RJK
Krishca Strapping Solutions Ltd,KRISC
Krishival Foods Ltd,KRISI
Krishna Capital and Securities Ltd,KRIS
Krishna Defence & Allied Industries Ltd,KRISN
Krishna Filament Industries Ltd,MAVI
Krishna Institute of Medical Sciences Ltd,KIMS
Krishna Ventures Ltd,KRISH
Kriti Industries (India) Limited,KRITI
Kriti Nutrients Ltd,KRIT
Kritika Wires Ltd,KRTK
Krsnaa Diagnostics Ltd,KRS
Krypton Industries Ltd,KRY
Krystal Integrated Services Ltd,KRYS
Kshitij Polyline Ltd,KSHT
Ksolves India Ltd,KSOL
Kuantum Papers Ltd,KAUN
Kuber Udyog Ltd,KUB
Kuberan Global Edu Solutions Ltd,KGE
Kumbhat Financial Services Ltd,KUM
Kundan Edifice Ltd,KLL
Kunststoffe Industries Ltd,KUN
Kusam Electrical Industries Ltd,KUSU
Kush Industries Ltd,SUZ
Kuwer Industries Ltd,KUW
Kwality Ltd,KDAI
Kwality Pharmaceuticals Ltd,KPL
L&T Finance Ltd,LTFH
L&T Technology Services Ltd,LTEH
LA Tim Metal & Industries Ltd,LATI
LCC Infotech Ltd,LCCI
LG Balakrishnan & Bros Ltd,LGB
LGB Forge Ltd,LGBL
LIC Housing Finance Ltd,LICH
LIC MF Nifty 100 ETF,LICU
LIC MF Nifty 50 ETF,LICO
LIC MF Nifty 8-13 yr G-Sec ETF,LICN
LIC MF Nifty Midcap 100 ETF,LICNM
LIC MF S&P BSE Sensex ETF,LICM
LKP Finance Ltd,LKPM
LKP Securities Ltd,LKP
LOYAL EQUIPMENTS Ltd,LOY
LT Foods Ltd,LTOL
LTIMindtree Ltd,LRTI
LWS Knitwear Ltd,LWS
La Opala R G Ltd,LAOP
Labelkraft Technologies Ltd,LAB
Lactose (India) Ltd,LAC
Ladam Affordable Housing Ltd,LAHL
Ladderup Finance Ltd,LADD
Laffans Petrochemicals Ltd,LAF
Lagnam Spintex Ltd,LAGN
Lahoti Overseas Ltd,LAH
Lakhotia Polyesters (India) Ltd,LAK
Lakshmi Automatic Loom Works Ltd,LXM
Lakshmi Electrical Control Systems Ltd,LKEL
Lakshmi Finance and Industrial Corp Ltd,LFIC
Lakshmi Machine Works Ltd,LKMC
Lakshmi Mills Company Ltd,LAKS
Lakshmi Precision Screws Ltd,LXPR
Lambodhara Textiles Ltd,LAMB
Lancer Container Lines Ltd,LAN
Lancor Holdings Ltd,LANC
Landmark Cars Ltd,LANDA
Landmark Property Development Co Ltd,LAND
Larsen and Toubro Ltd,LART
Lasa Supergenerics Ltd,LASA
Last Mile Enterprises Ltd,TRANF
Latent View Analytics Ltd,LATE
Latteys Industries Ltd,LATT
Laurus Labs Ltd,LAUL
Laxmi Cotspin Ltd,LAXM
Laxmi Goldorna House Ltd,LAXI
Laxmi Organic Industries Ltd,LXC
Laxmipati Engineering Works Ltd,LPN
Le Lavoir Ltd,RADH
Le Merite Exports Ltd,LEM
Lead Financial Services Ltd,LEA
Lead Reclaim and Rubber Products Ltd,LRR
Leading Leasing Finance and Investment Company Ltd,LLF
Lee & Nee Softwares (Exports) Ltd,LEE
Legacy Mercantile Ltd,LEG
Lehar Footwears Ltd,LEH
Lemon Tree Hotels Ltd,LEMO
Lerthai Finance Ltd,LER
Lesha Industries Ltd,LES
Lex Nimble Solutions Ltd,LEX
Lexus Granito (India) Ltd,LEXU
Libas Consumer Products Ltd,LIBA
Liberty Shoes Ltd,LIBS
Libord Finance Ltd,LIBO
Libord Securities Ltd,LIB
Life Insurance Corporation Of India,LIC
Likhami Consulting Ltd,LIK
Likhitha Infrastructure Ltd,LIKH
Lime Chemicals Ltd,LIM
Linc Ltd,LINC
Lincoln Pharmaceuticals Ltd,LINP
Linde India Ltd,LIND
Link Pharmachem Ltd,LINK
Lippi Systems Ltd,LIP
Lloyds Engineering Works Ltd,LSIL
Lloyds Enterprises Ltd,SHRG
Lloyds Luxuries Ltd,LLOY
Lloyds Metals And Energy Ltd,LLO
Logica Infoway Ltd,ELIL
Lokesh Machines Ltd,LOMA
Longspur International Ventures Ltd,CONFI
Longview Tea Co Ltd,LON
Looks Health Services Ltd,LOO
Lords Chloro Alkali Ltd,MODIA
Lords Ishwar Hotels Ltd,LORD
Lorenzini Apparels Ltd,LAL
Lotus Chocolate Company Ltd,LOT
Lotus Eye Hospital and Institute Ltd,LOTS
Lovable Lingerie Ltd,LOVA
Loyal Textile Mills Ltd,LOYA
Lucent Industries Ltd,SES
Ludlow Jute & Specialities Ltd,LUD
Luharuka Media & Infra Ltd,LUH
Lumax AutoTechnologies Ltd,LUAT
Lumax Industries Ltd,LUMA
Lupin Ltd,LUPN
Lux Industries Ltd,LUXI
Lyka Labs Ltd,LYKA
Lykis Ltd,LYK
Lypsa Gems & Jewellery Ltd,LYPS
M K Proteins Ltd,MKPR
M Lakhamsi Industries Ltd,SPECM
M V K Agro Food Product Ltd,MVK
MAS Financial Services Ltd,MASF
MBL Infrastructure Ltd,MBLI
MEP Infrastructure Developers Ltd,MPIN
MFL India Ltd,MFL
MFS Intercorp Ltd,MFS
MIC Electronics Ltd,MELC
MIG Media Neurons Ltd,MIGM
MIRC Electronics Ltd,MIRC
MITCON Consultancy & Engineering Services Ltd,MITC
MK Exim (India) Ltd,MKE
MKP Mobility Ltd,CHIT
MM Forgings Ltd,MMFO
MM Rubber Company Ltd,MMR
MMP Industries Ltd,MMPI
MMTC Ltd,MMTC
MOS Utility Ltd,MSS
MPAgro Industries Ltd,MPA
MPDLLtd,MONN
MPIL Corporation Ltd,MATH
MPL Plastics Ltd,MILT
MPS Infotecnics Ltd,VIFY
MPS Ltd,MPSL
MRC Agrotech Ltd,MRC
MRF Ltd,MRF
MRO-TEK Realty Ltd,MROT
MRP Agro Ltd,MRP
MSP Steel & Power Ltd,MSPO
MSR India Ltd,MSR
MSTC Ltd,MSTC
MT Educare Ltd,MTED
MTAR Technologies Ltd,MTA
MY Money Securities Ltd,MYMO
Maagh Advertising and Marketing Services Ltd,MAAG
Maan Aluminium Ltd,MANA
Mac Charles (India) Ltd,MCC
Mac Hotels Ltd,MAC
Macfos Ltd,ROB
Machhar Industries Ltd,MACIN
Machino Plastics Ltd,MACPL
Macpower CNC Machines Ltd,MACP
Macrotech Developers Ltd,LOD
Madhav Copper Ltd,MADC
Madhav Infra Projects Ltd,MAD
Madhav Marbles and Granites Ltd,MDVM
Madhucon Projects Ltd,MAPR
Madhusudan Industries Ltd,MADS
Madhusudan Masala Ltd,MADHD
Madhusudan Securities Ltd,MADHS
Madhuveer Com 18 Network Ltd,MADH
Madhya Bharat Agro Products Ltd,MADY
Madhya Pradesh Today Media Ltd,MADA
Madras Fertilizers Ltd,MDFT
Maestros Electronics & Telecommunications Systems Ltd,MET
Mafatlal Industries Ltd,MAFA
Mafia Trends Ltd,MAFI
Magadh Sugar & Energy Ltd,MGAD
Magellanic Cloud Ltd,MCLO
Magna Electro Castings Ltd,MAGNA
Magnanimous Trade & Finance Ltd,MAG
Magnum Ventures Ltd,MGNM
Magson Retail and Distribution Ltd,MAGSO
Maha Rashtra Apex Corporation Ltd,MAAC
Mahaan Foods Ltd,MAHAA
Mahalaxmi Rubtech Ltd,MHL
Mahalaxmi Seamless Ltd,MAHAL
Mahamaya Steel Industries Ltd,MAHA
Mahan Industries Ltd,MAHAN
Mahanagar Gas Ltd,MGAS
Mahanagar Telephone Nigam Ltd,MTNL
Maharashtra Corp Ltd,MAHAC
Maharashtra Scooters Ltd,MHSC
Maharashtra Seamless Ltd,MHSM
Mahasagar Travels Ltd,MHS
Mahaveer Infoway Ltd,MINF
Mahesh Developers Ltd,MAHE
Maheshwari Logistics Ltd,MAHW
Mahickra Chemicals Ltd,MHIC
Mahindra EPC Irrigation Ltd,MHID
Mahindra Holidays and Resorts India Ltd,MAHH
Mahindra Lifespace Developers Ltd,MALD
Mahindra Logistics Ltd,MALO
Mahindra and Mahindra Financial Services Ltd,MMFS
Mahindra and Mahindra Ltd,MAHM
Maiden Forgings Ltd,MAID
Maithan Alloys Ltd,MAIT
Maitreya Medicare Ltd,MAITE
Maitri Enterprises Ltd,MAITR
Majestic Auto Ltd,MAJ
Makers Laboratories Ltd,MAK
Maks Energy Solutions India Ltd,MAKS
Mallcom (India) Ltd,MAL
Malu Paper Mills Ltd,MALP
Man Industries (India) Ltd,MIND
Man Infraconstruction Ltd,MANI
Manaksia Aluminium Co Ltd,MANL
Manaksia Coated Metals & Industries Ltd,MANC
Manaksia Ltd,MANK
Manaksia Steels Ltd,MANM
Manali Petrochemicals Ltd,MNLI
Manappuram Finance Ltd,MNFL
Manas Properties Ltd,MANAS
Manav Infra Projects Ltd,MNVI
Manbro Industries Ltd,UNIM
Mangal Credit and Fincorp Ltd,MANCR
Mangalam Alloys Ltd,MLL
Mangalam Cement Ltd,MGLC
Mangalam Drugs and Organics Ltd,MADR
Mangalam Global Enterprise Ltd,MANP
Mangalam Industrial Finance Ltd,MANG
Mangalam Organics Ltd,MANOR
Mangalam Seeds Ltd,MSL
Mangalam Worldwide Ltd,MWL
Mangalore Chemicals and Fertilisers Ltd,MNGL
Mangalore Refinery and Petrochemicals Ltd,MRPL
Manipal Finance Corp Ltd,MNP
Manjeera Constructions Ltd,MANJ
Mankind Pharma Ltd,MANKI
Manoj Ceramic Ltd,MCP
Manoj Vaibhav Gems N Jewellers Ltd,MVG
Manomay Tex India Ltd,MAN
Manor Estates and Industries Ltd,KARA
Manorama Industries Ltd,MANO
Manraj Housing Finance Ltd,MANR
Mansi Finance (Chennai) Ltd,MANS
Mansoon Trading Co Ltd,ZMA
Manugraph India Ltd,MNUG
Maral Overseas Ltd,MARL
Marathon Nextgen Realty Ltd,MANE
Marble City India Ltd,PGI
Marco Cables & Conductors Ltd,MARC
Marg Techno-Projects Ltd,MTP
Margo Finance Ltd,MARGO
Marico Ltd,MRCO
Marine Electricals (India) Ltd,MARN
Marinetrans India Ltd,MARIN
Maris Spinners Ltd,MARI
Market Creators Ltd,MKT
Markobenz Ventures Ltd,EVERT
Markolines Pavement Technologies Ltd,MTC
Marksans Pharma Ltd,MARK
Marshall Machines Ltd,MARH
Marsons Ltd,MARS
Martin Burn Ltd,MARB
Maruti Infrastructure Ltd,MAI
Maruti Interior Products Ltd,MARUT
Maruti Suzuki India Ltd,MRTI
Marvel Decor Ltd,MALR
Mask Investments Ltd,MASK
Mastek Ltd,MAST
Master Components Ltd,MASTR
Master Trust Ltd,MASTE
Mathew Easow Research Securities Ltd,MAT
Matrimony.Com Ltd,MATI
Mauria Udyog Ltd,MUL
Mawana Sugars Ltd,MAWS
Max Estates Ltd,MAXES
Max Financial Services Ltd,MAXI
Max Healthcare Institute Ltd,MAXE
Max Heights Infrastructure Ltd,MAXH
Max India Ltd,MAII
Max Ventures and Industries Ltd,MAXV
Maximus International Ltd,MAX
Maxposure Ltd,MAXP
Mayank Cattle Food Ltd,MCF
Mayur Floorings Ltd,MAYUF
Mayur Uniquoters Ltd,MAYU
Mazagon Dock Shipbuilders Ltd,MAZ
Mazda Ltd,MAZD
McLeod Russel India Ltd,MCLE
McNally Bharat Engg Co Ltd,MCNL
Mcon Rasayan India Ltd,MCO
MedPlus Health Services Ltd,MEDP
Medi Assist Healthcare Services Ltd,MEDIS
MediCaps Ltd,MEDIC
Media Matrix Worldwide Ltd,MMW
Mediaone Global Entertainment Ltd,MEDIA
Medicamen Biotech Ltd,MEDI
Medico Intercontinental Ltd,MIM
Medico Remedies Ltd,MED
Medinova Diagnostic Services Ltd,MEDIN
Meenakshi Steel Industries Ltd,MEEN
Meera Industries Ltd,MEE
Mefcom Capital Markets Ltd,MEF
Mega Corp Ltd,MEGA
Mega Fin (India) Ltd,MEGF
Mega Flex Plastics Ltd,MEGAF
Mega Nirman & Industries Ltd,MNI
Megasoft Ltd,MSFT
Megastar Foods Ltd,MEG
Megatherm Induction Ltd,MEGAT
Megh Mayur Infra Ltd,TRANO
Meghmani Organics Ltd,MOM
Megri Soft Ltd,MEGR
Mehai Technology Ltd,MEH
Mehta Housing Finance Ltd,MEHT
Mehta Integrated Finance Ltd,MEHI
Mehta Securities Ltd,MEHS
Melstar Information Technologies Ltd,MELS
Mena Mani Industries Ltd,MENA
Menon Bearings Ltd,MENO
Menon Pistons Ltd,MEN
Mercantile Ventures Ltd,MER
Mercury Ev-Tech Ltd,MERM
Mercury Laboratories Ltd,MERC
Mercury Trade Links Ltd,MERCT
Meson Valves India Ltd,MESO
Metal Coatings (India) Ltd,META
Metalyst Forgings Ltd,MTAL
Metro Brands Ltd,METR
Metroglobal Ltd,GLOBB
Metropolis Healthcare Ltd,METP
Micropro Software Solutions Ltd,MICRO
Microse India Ltd,MIC
Mid India Industries Ltd,MIDIN
Mideast Portfolio Management Ltd,MIDEA
Midwest Gold Ltd,MIDW
Mihika Industries Ltd,MIH
Milestone Furniture Ltd,MIL
Milestone Global Limited,MILE
Milgrey Finance and Investments Ltd,ZMI
Milkfood Ltd,MLK
Millennium Online Solutions (India) Ltd,MILL
Milton Industries Ltd,MLTO
Minal Industries Ltd,MINAL
Minaxi Textiles Ltd,MINA
Minda Corporation Ltd,MINC
Mindpool Technologies Ltd,MINP
Mindspace Business Parks REIT,MINS
Mindteck (India) Ltd,MDTK
Mini Diamonds (India) Ltd,MINI
Minolta Finance Ltd,MINO
Mipco Seamless Rings (Gujarat) Ltd,MPC
Mirae Asset Gold ETF,MAGO
Mirae Asset Hang Seng TECH ETF,MAHK
Mirae Asset NYSE FANG+ ETF,MAFAN
Mirae Asset Nifty 100 ESG Sector Leaders ETF,MAE
Mirae Asset Nifty 100 Low Volatility 30 ETF,MANV
Mirae Asset Nifty 1D Rate Liquid ETF,LIQ
Mirae Asset Nifty 200 Alpha 30 ETF,ALPHE
Mirae Asset Nifty 50 ETF,MIRA
Mirae Asset Nifty 8-13 yr G-Sec ETF,MAGS
Mirae Asset Nifty Bank ETF,BANK
Mirae Asset Nifty Financial Services ETF,MAFS
Mirae Asset Nifty IT ETF,ITE
Mirae Asset Nifty India Manufacturing ETF,MAMF
Mirae Asset Nifty Midcap 150 ETF,MAME
Mirae Asset Nifty Next 50 ETF,MIRE
Mirae Asset Nifty Smallcap 250 Momen.Quali. 100ETF,SMAL
Mirae Asset S&P 500 Top 50 ETF,MASP
Mirae Asset S&P BSE Sensex ETF,SENS
Mirae Asset Silver ETF,MASI
Mirza International Ltd,MIRZ
Mish Designs Ltd,MISHD
Mishka Exim Ltd,MISH
Mishra Dhatu Nigam Ltd,MISR
Mishtann Foods Ltd,MISHT
Misquita Engineering Ltd,MIS
Mitshi India Ltd,MITS
Mitsu Chem Plast Ltd,MIT
Mittal Life Style Ltd,MITT
Miven Machine Tools Ltd,MIV
Mkventures Capital Ltd,IKA
Modella Woollens Ltd,MODW
Modern Dairies Ltd,MODA
Modern Engineering and Projects Ltd,MOD
Modern Insulators Ltd,MODIU
Modern Shares and Stockbrokers Ltd,MODR
Modern Steel Ltd,MDR
Modern Threads (India) Ltd,MTHR
Modi Naturals Ltd,MODIN
Modi Rubber Ltd,MODI
Modi's Navnirman Ltd,MODIM
Modipon Ltd,MODIP
Modison Ltd,MODIS
Modulex Construction Technologies Ltd,MODU
Mohini Health & Hygiene Ltd,MOHH
Mohit Industries Ltd,MOHT
Mohit Paper Mills Ltd,MOHI
Mohite Industries Ltd,MOH
Moil Ltd,MOIL
Moksh Ornaments Ltd,MOKS
Mold-Tek Packaging Ltd,MOLT
Mold-Tek Technologies Ltd,MOLD
Monarch Networth Capital Ltd,MONA
Money Masters Leasing and Finance Ltd,MML
Moneyboxx Finance Ltd,MON
Monind Ltd,MONNE
Mono Pharmacare Ltd,MONOP
Monotype India Ltd,MONO
Monte Carlo Fashions Ltd,MOCF
Moongipa Capital Finance Ltd,MONG
Morarjee Textiles Ltd,MORT
Morarka Finance Ltd,MOR
Morepen Laboratories Ltd,MORL
Morgan Ventures Ltd,MORG
Morganite Crucible (India) Ltd,MORGA
Moschip Technologies Ltd,MOS
Motherson Sumi Wiring India Ltd,MSU
Motilal Oswal 5 Year G-Sec ETF,G
Motilal Oswal Financial Services Ltd,MOFS
Motilal Oswal M50 ETF,M50
Motilal Oswal Midcap 100 ETF,M100
Motilal Oswal NASDAQ 100 ETF,N100
Motilal Oswal Nasdaq Q50 ETF,MONQ
Motilal Oswal Nifty 200 Momentum 30 ETF,MOMO
Motilal Oswal Nifty 500 ETF,MONIF
Motilal Oswal Nifty Realty ETF,MORE
Motilal Oswal Nifty Smallcap 250 ETF,MOSM
Motilal Oswal S&P BSE Enhanced Value ETF,MOV
Motilal Oswal S&P BSE Healthcare ETF,MOHE
Motilal Oswal S&P BSE Low Volatility ETF,MOLO
Motilal Oswal S&P BSE Quality ETF,MOQ
Motisons Jewellers Ltd,MOT
Motor and General Finance Ltd,MGF
Mount Housing and Infrastructure Ltd,MOU
Moxsh Overseas Educon Ltd,MOX
Mphasis Ltd,MBFL
Mrs. Bectors Food Specialities Ltd,BEC
Mrugesh Trading Ltd,MRU
Mudra Financial Services Ltd,MUD
Mufin Green Finance Ltd,APM
Mukand Engineers Ltd,MUKE
Mukand Ltd,MUKA
Mukat Pipes Ltd,MUKAT
Mukesh Babu Financial Services Ltd,MUKES
Mukka Proteins Ltd,MUKK
Mukta Agriculture Ltd,MUK
Mukta Arts Ltd,MUKR
Muller and Phipps (India) Ltd,MULL
Multi Commodity Exchange of India Ltd,MCEI
Multibase India Ltd,MULT
Multiplus Holdings Ltd,MULTI
Multipurpose Trading and Agencies Ltd,ZMU
Munjal Auto Industries Ltd,MUAU
Munjal Showa Ltd,MNJL
Munoth Capital Market Ltd,MUNC
Munoth Communication Ltd,MCLT
Munoth Financial Services Ltd,MUN
Murae Organisor Ltd,EAR
Murudeshwar Ceramics Ltd,MURD
Music Broadcast Ltd,MUSI
Muthoot Capital Services Ltd,MUTH
Muthoot Finance Ltd,MUTT
Muthoot Microfin Ltd,MUT
Mysore Petro Chemicals Ltd,MYSO
Mystic Electronics Ltd,MYS
N D A Securities Ltd,NDA
N D Metal Industries Ltd,NDM
N G Industries Ltd,NGIN
N K Industries Ltd,NKIN
N R Agarwal Industries Ltd,NRAI
N2N Technologies Ltd,NNT
NACL Industries Ltd,NACL
NAM Securities Ltd,NAM
NB Footwear Ltd,NBF
NBCC (India) Ltd,NBCC
NBI Industrial Finance Company Ltd,NBII
NCC Blue Water Products Ltd,NCCB
NCC Ltd,NCCL
NCL Industries Ltd,NCLI
NCL Research and Financial Services Ltd,NCL
NDL Ventures Ltd,NXTD
NDR Auto Components Ltd,NDRA
NDR InvIT Trust,NDR
NHPC Ltd,NHPC
NIBE Ltd,NIB
NIIT Ltd,NIIT
NIKS Technology Ltd,NIKS
NINtec Systems Ltd,NIN
NLC India Ltd,NLCI
NMDC Ltd,NMDC
NMDC Steel Ltd,NSLN
NMS Global Ltd,NMS
NPR Finance Ltd,NPR
NRB Bearings Ltd,NBEA
NRB Industrial Bearings Ltd,NIBL
NTC Industries Ltd,NTC
NTPC Ltd,NTPC
Naapbooks Ltd,NBL
Naga Dhunseri Group Ltd,NAGD
Nagarjuna Agri Tech Ltd,NAGT
Nagarjuna Fertilizers and Chemicals Ltd,NGFR
Nagpur Power and Industries Ltd,NAG
Nagreeka Capital & Infrastructure Ltd,NCIL
Nagreeka Exports Ltd,NAGR
Nahar Capital and Financial Services Ltd,NAHA
Nahar Industrial Enterprises Ltd,NHIE
Nahar Poly Films Ltd,NAHR
Nahar Spinning Mills Ltd,NHRS
Nakoda Group of Industries Ltd,NGI
Nalin Lease Finance Ltd,NAL
Nalwa Sons Investments Ltd,NALS
Naman In-Store (India) Ltd,NAMA
Nanavati Ventures Ltd,NVE
Nandan Denim Ltd,NANE
Nandani Creation Ltd,NANA
Naperol Investments Ltd,NATPE
Narayana Hrudayalaya Ltd,NARY
Narbada Gems and Jewellery Ltd,NARB
Narendra Properties Ltd,NARP
Narmada Agrobase Ltd,NARD
Narmada Gelatines Ltd,SHAW
Narmada Macplast Drip Irrigation Systems Ltd,NARM
Natco Pharma Ltd,NATP
Nath Bio-Genes (I) Ltd,NATB
Nath Industries Ltd,NATH
National Aluminium Co Ltd,NALU
National Fertilizers Ltd,NAFT
National Fittings Ltd,NATF
National General Industries Ltd,NATG
National Highways Infra Trust,NHIT
National Oxygen Ltd,NOL
National Plastic Industries Ltd,NATPA
National Plastic Technologies Ltd,NATPL
National Plywood Industries Ltd,NATPY
National Standard (India) Ltd,NATI
Natraj Proteins Ltd,NATR
Natura Hue Chem Ltd,NAT
Natural Biocon (India) Ltd,NATU
Natural Capsules Ltd,NATC
Naturite Agro Products Ltd,NAP
Naturo Indiabull Ltd,NATUR
Nava Limited,NABV
Navi NIFTY 50 ETF,NAVI
Navigant Corporate Advisors Ltd,NAV
Navin Fluorine International Ltd,NAFL
Navkar Corporation Ltd,NAVR
Navkar Urbanstructure Ltd,NAVB
Navneet Education Ltd,NAVN
Navoday Enterprises Ltd,NAVO
Naysaa Securities Ltd,NAY
Nazara Technologies Ltd,NAZ
Nectar Lifesciences Ltd,NECT
Neelamalai Agro Industries Ltd,NEA
Neelkanth Ltd,RTE
Neelkanth Rock-Minerals Ltd,NEEL
Neeraj Paper Marketing Ltd,NEE
Neil Industries Ltd,NEI
Nelcast Ltd,NLCA
Nelco Ltd,NELC
Neo Infracon Ltd,NEO
Neogen Chemicals Ltd,NEOE
Nesco Ltd,NSEN
Nestle India Ltd,NEST
Net Avenue Technologies Ltd,CBA
Net Pix Shorts Digital Media Ltd,NETP
Netlink Solutions (India) Ltd,NETL
Nettlinx Ltd,NETT
Netweb Technologies India Ltd,NETWE
Network People Services Technologies Ltd,NPS
Network18 Media & Investments Ltd,NEFI
Neueon Towers Ltd,NEUE
Neuland Laboratories Ltd,NEUL
New Delhi Television Ltd,NDTV
New India Assurance Company Ltd,THEE
New Light Apparels Ltd,NEWL
New Markets Advisory Ltd,NEWM
New Swan Multitech Ltd,SWANA
Newgen Software Technologies Ltd,NEWG
Newjaisa Technologies Ltd,NEWJ
Newtime Infrastructure Ltd,NEWI
Next Mediaworks Ltd,NEXM
Nexus Select Trust,NXS
Nexus Surgical and Medicare Ltd,NEX
Ngl Fine Chem Ltd,NGL
Nhc Foods Ltd,NHC
Nicco Parks & Resorts Ltd,NIC
Nidan Laboratories and Healthcare Ltd,NIDA
Nidhi Granites Ltd,NIDH
Nihar Info Global Ltd,NIH
Niit Learning Systems Ltd,NII
Nikhil Adhesives Ltd,NIKH
Nikki Global Finance Ltd,NIK
Nila Infrastructures Ltd,NHI
Nila Spaces Ltd,NILS
Nilachal Refractories Ltd,NIL
Nile Ltd,NILE
Nilkamal Ltd,NKML
Nilkanth Engineering Ltd,ZNIL
Nimbus Projects Ltd,NIMBS
Nippon IN ETF Nifty 8-13 yr G-Sec Long Term Gilt,NTFL
Nippon India ETF Gold BeES,GBES
Nippon India ETF Hang Seng BeES,HNGS
Nippon India ETF Nifty 100,NIPO
Nippon India ETF Nifty 1D Rate Liquid BeES,LBES
Nippon India ETF Nifty 5 yr Benchmark G-Sec,NETFG
Nippon India ETF Nifty 50 BeES,NBES
Nippon India ETF Nifty 50 Shariah BeES,SBET
Nippon India ETF Nifty 50 Value 20,NNET
Nippon India ETF Nifty Bank BeES,BBES
Nippon India ETF Nifty Dividend Opportunities 50,NDIV
Nippon India ETF Nifty IT,NIPD
Nippon India ETF Nifty India Consumption,NCON
Nippon India ETF Nifty Infrastructure BeES,IFRB
Nippon India ETF Nifty Midcap 150,NTFM
Nippon India ETF Nifty Next 50 Junior BeES,JBES
Nippon India ETF Nifty PSU Bank BeES,PSUB
Nippon India ETF S&P BSE Sensex Next 50,RET
Nippon India ETF S&P BSE Sensex,RELS
Nippon India Nifty Auto ETF,NETFA
Nippon India Nifty Pharma ETF,NETFP
Nippon India Silver ETF,NETFS
Nippon Life India Asset Management Ltd,NIPF
NipponETFNifty CPSE Bond Plus SDL Sep 2024 50:50,NCP
NipponINETFNifty SDL Apr 2026 Top 20 Equal Weight,NETF
Niraj Cement Structurals Ltd,NIRAJ
Niraj Ispat Industries Ltd,NIRA
Nirav Commercials Ltd,NIRAV
Nirbhay Colours India Ltd,PARTI
Nirlon Ltd,NIRL
Nirman Agri Genetics Ltd,NIRM
Nirmitee Robotics India Ltd,NIR
Nitco Ltd,NCOT
Nitin Castings Ltd,NIT
Nitin Spinners Ltd,NISP
Nitiraj Engineers Ltd,NITR
Nitta Gelatin India Ltd,KERA
Nivaka Fashions Ltd,NIV
Nivi Trading Ltd,ZNI
Niyogin Fintech Ltd,NIY
Nocil Ltd,NOCI
Noida Toll Bridge Company Ltd,NOID
Norben Tea and Exports Ltd,NTE
Norris Medicines Ltd,NORR
North Eastern Carrying Corporation Ltd,NECC
Northern Spirits Ltd,NSL
Northlink Fiscal and Capital Services Ltd,NOR
Nouveau Global Ventures Ltd,NOU
Nova Agritech Ltd,NOVAA
Nova Iron and Steel Ltd,NOVAI
Novartis India Ltd,NOVAR
Novateor Research Laboratories Ltd,NOV
Nucleus Software Exports Ltd,NSEL
Nupur Recyclers Ltd,NRL
Nureca Ltd,NUR
Nutech Global Ltd,NUT
Nuvama Wealth Management Ltd,NUVA
